Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,MACD,MACD_Signal,RSI,Price_Change,Target
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
113.60481262207031,114.48177040505827,113.24429090254516,113.58532797535975,46691300,114.45255050659179,113.29116859436036,113.70712791494063,113.97013842038862,-0.4653168306079749,-0.2926044075103188,48.14794750849625,0.004826204605999251,1
116.00184631347656,117.87268484188316,113.8191939296174,113.97510085734369,169410200,114.43208847045898,113.7967571258545,114.12434944194716,114.16363441020651,-0.25244188851826266,-0.2845719037119076,54.163457206113996,0.0210997548086318,1
119.57787322998047,120.30867019893745,116.93726107423544,117.91165703284473,127728200,114.66789093017579,114.48552436828614,115.11589922158959,114.67927620256593,0.20248440860667927,-0.18716064124819023,61.36462506699207,0.0308273275827029,1
119.92865753173828,120.21123325455888,117.79472798281287,118.89579275045067,89004200,115.02744369506836,115.11060981750488,115.99094618707116,115.17921728153473,0.5845834243449985,-0.03281182812955248,61.99536696163469,0.0029335218321131507,0
119.79224395751953,120.61073301099076,119.08093162233982,120.3573879750848,78967600,115.50587158203125,115.50952644348145,116.6820912362436,115.61855315543805,0.8664048361755761,0.14703150473147322,61.57437993156755,-0.0011374560261599997,0
119.11990356445312,119.7142856820755,118.40859125787107,119.46094065635505,78260400,115.8576286315918,115.6763916015625,117.1253298413726,115.95201509915378,1.023697536753474,0.3223647111358734,59.4322397991389,-0.005612553624964489,1
120.58149719238281,121.38050156328545,119.1199032870206,119.17836466433876,86712000,116.4822166442871,115.9229133605957,117.75372390519263,116.39291815565178,1.251860853260439,0.5082639395607865,62.48748540801822,0.012269936292710781,1
121.19537353515625,121.78001709074977,119.93840178511279,121.18563492753421,82225500,117.50825653076171,116.31559562683105,118.37947838336783,116.85029485846174,1.4653252584571135,0.699676203340052,63.72324081604697,0.005090966334528213,0
118.66193389892578,122.72516309946796,117.90190627108922,121.34152267781417,115089200,118.1523307800293,116.5986572265625,118.43083393165108,117.0228319099345,1.4137728384593942,0.8424955303639206,55.58503656939297,-0.020903765237338612,1
120.08455657958984,120.69843079499793,117.07367661772612,117.41471371847992,81312200,118.8548698425293,116.7813564300537,118.73151077673084,117.31442473561596,1.4707569644006497,0.9681478171712665,58.769342880733184,0.011988871527037759,0
119.27581787109375,119.61685498411975,117.46344071723955,119.29530252010173,86939800,119.42197036743164,116.93726043701172,118.83047570297863,117.50122408185194,1.434127115222168,1.0613436767814468,56.298279761841634,-0.006734743680050781,0
118.66193389892578,120.19173519532912,118.42808095975704,119.46093825563229,79184500,119.68797912597657,117.06003379821777,118.79983173860538,117.61176787395421,1.3401143852914714,1.117097818483452,54.42753550074577,-0.005146759696348702,1
124.60575866699219,124.62525075019607,120.95177364167792,121.15639591100933,157243700,120.19076766967774,117.42932929992676,119.85545481649388,118.27786223519593,1.725336992795036,1.2387456533457688,66.15448008252025,0.05009040871632231,0
124.53755950927734,125.08321893037582,123.31956442000251,124.14780702795105,98208600,120.65165786743164,117.83955078125,120.70674657881813,118.87402388034654,2.002047228340004,1.3914059683446158,65.94479834868447,-0.0005473194693762506,1
125.4047622680664,126.2622355061444,124.76165733950789,125.59963849451057,94359800,121.21290969848633,118.3593906402588,121.56093124959054,119.4959989648913,2.265206211552538,1.5661660169862004,67.36143576310252,0.006963383273336676,0
123.41699981689453,125.79452841437983,122.8908250895469,125.65811357033245,192541500,121.64261932373047,118.75012397766113,121.89839826182762,119.86942761746303,2.287002641479674,1.7103333418848952,61.088599712758636,-0.01585077324992501,1
124.94678497314453,125.02473843111304,120.28917365326492,121.8189749541549,121251600,122.07914810180664,119.28068237304687,122.45265039115796,120.35298546086126,2.4000510518473277,1.8482768838773818,63.876594343691586,0.012395254774622888,1
128.5033416748047,130.96856222026736,126.33042801765606,128.2402506072199,168904800,122.80994491577148,120.1591007232666,123.55277607909372,121.12920986218921,2.744984659511701,2.0276184390042458,69.37111958920374,0.028464571556799934,0
127.60690307617188,129.03925147681866,127.43150406974205,128.77617526932784,88223700,123.70444183349609,120.92838630676269,124.28989007856248,121.74613302542565,2.912439140161098,2.204582579235616,66.62053445270678,-0.006975994452357304,1
128.59103393554688,130.04288924480903,127.74331422195132,127.95768251910687,54930100,124.55508956909179,121.70497970581054,125.07191623437781,122.3980283501991,3.088951646373175,2.3814563926631283,68.11521001675408,0.007712207064437093,1
133.190185546875,133.82353697075987,130.09159867672324,130.55931944043445,124486200,125.94652633666992,122.68424835205079,126.54796520028638,123.42585284512062,3.55892708152993,2.6169505304364886,73.97925002833978,0.03576572542089784,0
131.41677856445312,135.23640894920797,130.90034989432698,134.5153654533124,121047300,127.22201080322266,123.4549949645996,127.43320399377123,124.18689338981895,3.745115516954911,2.842583527740173,68.73024905930964,-0.013314847300049282,0
130.29623413085938,132.50811721089653,129.9844202745973,132.10861128309938,96452100,127.79105834960937,123.99091300964355,127.95375492778726,124.76873536515613,3.7589221082182434,3.0258512438357874,65.5647479053317,-0.008526646641579205,0
129.29266357421875,131.29017921232486,128.34749785572137,130.64707400565683,99116600,128.2665687561035,124.45911331176758,128.19719286350207,125.19958567078115,3.6468456084421916,3.1500501167570683,62.776107880007714,-0.007702222273229475,0
126.09657287597656,130.18903254892197,123.5144223383572,130.10134048912553,143301900,128.33574981689452,124.77432975769042,127.81526195667924,125.2850130236569,3.262518088718636,3.1725437111493817,54.78447648979162,-0.024719814797593,1
